标签,置信度,X,Y,宽度,高度,时间戳
bench,0.383,876,1114,2956,1008,2025-03-17 04:59:39
broccoli,0.295,1391,389,1565,881,2025-03-17 04:59:39
bench,0.383,876,1114,2956,1008,2025-03-17 04:59:39
broccoli,0.295,1391,389,1565,881,2025-03-17 04:59:39
bench,0.656,879,1120,2947,1010,2025-03-17 04:59:01
bench,0.656,879,1120,2947,1010,2025-03-17 04:59:01
teddy bear,0.287,0,46,177,306,2025-03-17 03:36:32
teddy bear,0.287,0,46,177,306,2025-03-17 03:36:32
motorcycle,0.284,0,47,626,306,2025-03-17 03:36:32
motorcycle,0.284,0,47,626,306,2025-03-17 03:36:32
teddy bear,0.527,0,41,182,312,2025-03-17 03:36:31
teddy bear,0.527,0,41,182,312,2025-03-17 03:36:31
teddy bear,0.419,0,38,197,316,2025-03-17 03:36:29
teddy bear,0.419,0,38,197,316,2025-03-17 03:36:29
teddy bear,0.329,0,37,198,317,2025-03-17 03:36:29
teddy bear,0.329,0,37,198,317,2025-03-17 03:36:29
teddy bear,0.289,0,38,193,317,2025-03-17 03:36:28
teddy bear,0.289,0,38,193,317,2025-03-17 03:36:28
teddy bear,0.756,0,32,194,322,2025-03-17 03:36:27
teddy bear,0.756,0,32,194,322,2025-03-17 03:36:27
teddy bear,0.571,0,25,198,328,2025-03-17 03:36:27
teddy bear,0.571,0,25,198,328,2025-03-17 03:36:27
motorcycle,0.467,1,21,626,332,2025-03-17 03:36:25
motorcycle,0.467,1,21,626,332,2025-03-17 03:36:25
motorcycle,0.295,0,42,636,311,2025-03-17 03:36:14
motorcycle,0.295,0,42,636,311,2025-03-17 03:36:14
teddy bear,0.347,129,2,368,350,2025-03-17 03:36:02
teddy bear,0.347,129,2,368,350,2025-03-17 03:36:02
sports ball,0.276,235,229,41,42,2025-03-17 03:35:55
sports ball,0.276,235,229,41,42,2025-03-17 03:35:55
person,0.359,1050,1575,74,211,2025-03-17 03:26:56
person,0.303,861,1634,81,163,2025-03-17 03:26:56
person,0.359,1050,1575,74,211,2025-03-16 09:17:15
person,0.303,861,1634,81,163,2025-03-16 09:17:15
teddy bear,0.506,0,60,197,295,2025-03-16 09:12:08
teddy bear,0.506,0,60,197,295,2025-03-16 09:12:08
teddy bear,0.457,0,114,201,241,2025-03-16 09:12:08
teddy bear,0.457,0,114,201,241,2025-03-16 09:12:08
teddy bear,0.812,0,64,187,292,2025-03-16 09:12:07
teddy bear,0.812,0,64,187,292,2025-03-16 09:12:07
teddy bear,0.721,0,48,188,307,2025-03-16 09:12:06
teddy bear,0.721,0,48,188,307,2025-03-16 09:12:06
teddy bear,0.546,0,51,193,304,2025-03-16 09:12:06
teddy bear,0.546,0,51,193,304,2025-03-16 09:12:06
teddy bear,0.721,0,44,186,311,2025-03-16 09:12:05
teddy bear,0.721,0,44,186,311,2025-03-16 09:12:05
teddy bear,0.714,0,41,188,314,2025-03-16 09:12:05
teddy bear,0.714,0,41,188,314,2025-03-16 09:12:05
teddy bear,0.543,0,63,182,291,2025-03-16 09:12:04
sports ball,0.389,24,129,8,11,2025-03-16 09:12:04
teddy bear,0.543,0,63,182,291,2025-03-16 09:12:04
sports ball,0.389,24,129,8,11,2025-03-16 09:12:04
teddy bear,0.720,0,41,181,313,2025-03-16 09:12:04
teddy bear,0.720,0,41,181,313,2025-03-16 09:12:04
teddy bear,0.532,0,55,182,300,2025-03-16 09:12:03
teddy bear,0.532,0,55,182,300,2025-03-16 09:12:03
teddy bear,0.353,0,90,192,265,2025-03-16 09:12:03
teddy bear,0.353,0,90,192,265,2025-03-16 09:12:03
teddy bear,0.682,0,58,182,297,2025-03-16 09:12:02
teddy bear,0.682,0,58,182,297,2025-03-16 09:12:02
teddy bear,0.666,0,45,192,310,2025-03-16 09:12:02
teddy bear,0.666,0,45,192,310,2025-03-16 09:12:02
teddy bear,0.336,0,68,188,288,2025-03-16 09:12:01
teddy bear,0.336,0,68,188,288,2025-03-16 09:12:01
teddy bear,0.679,0,69,182,286,2025-03-16 09:12:01
teddy bear,0.679,0,69,182,286,2025-03-16 09:12:01
teddy bear,0.415,0,58,190,297,2025-03-16 09:12:00
teddy bear,0.415,0,58,190,297,2025-03-16 09:11:59
teddy bear,0.690,0,45,188,310,2025-03-16 09:11:57
teddy bear,0.690,0,45,188,310,2025-03-16 09:11:57
teddy bear,0.272,0,47,189,307,2025-03-16 09:11:57
teddy bear,0.272,0,47,189,307,2025-03-16 09:11:57
teddy bear,0.770,0,41,185,314,2025-03-16 09:11:56
teddy bear,0.770,0,41,185,314,2025-03-16 09:11:56
teddy bear,0.614,0,38,183,316,2025-03-16 09:11:56
teddy bear,0.614,0,38,183,316,2025-03-16 09:11:56
person,0.332,0,105,188,251,2025-03-16 09:11:55
person,0.332,0,105,188,251,2025-03-16 09:11:55
teddy bear,0.712,0,42,182,312,2025-03-16 09:11:55
teddy bear,0.712,0,42,182,312,2025-03-16 09:11:55
teddy bear,0.805,0,40,176,314,2025-03-16 09:11:54
teddy bear,0.805,0,40,176,314,2025-03-16 09:11:54
teddy bear,0.734,0,42,186,312,2025-03-16 09:11:54
teddy bear,0.734,0,42,186,312,2025-03-16 09:11:54
person,0.457,0,109,196,246,2025-03-16 09:11:53
sports ball,0.357,22,129,8,10,2025-03-16 09:11:53
person,0.457,0,109,196,246,2025-03-16 09:11:53
sports ball,0.357,22,129,8,10,2025-03-16 09:11:53
teddy bear,0.766,0,41,180,314,2025-03-16 09:11:53
teddy bear,0.766,0,41,180,314,2025-03-16 09:11:53
teddy bear,0.759,0,44,189,311,2025-03-16 09:11:52
teddy bear,0.759,0,44,189,311,2025-03-16 09:11:52
teddy bear,0.654,0,48,196,307,2025-03-16 09:11:52
teddy bear,0.654,0,48,196,307,2025-03-16 09:11:52
teddy bear,0.620,0,41,183,313,2025-03-16 09:11:51
teddy bear,0.620,0,41,183,313,2025-03-16 09:11:51
teddy bear,0.815,0,50,182,305,2025-03-16 09:11:51
teddy bear,0.815,0,50,182,305,2025-03-16 09:11:51
teddy bear,0.724,0,57,192,299,2025-03-16 09:11:50
teddy bear,0.724,0,57,192,299,2025-03-16 09:11:50
teddy bear,0.690,0,45,184,309,2025-03-16 09:11:50
teddy bear,0.690,0,45,184,309,2025-03-16 09:11:50
teddy bear,0.500,0,50,191,306,2025-03-16 09:11:49
teddy bear,0.500,0,50,191,306,2025-03-16 09:11:49
teddy bear,0.648,0,45,194,310,2025-03-16 09:11:49
teddy bear,0.648,0,45,194,310,2025-03-16 09:11:49
teddy bear,0.756,0,41,186,314,2025-03-16 09:11:48
teddy bear,0.756,0,41,186,314,2025-03-16 09:11:48
person,0.428,0,52,185,304,2025-03-16 09:11:48
teddy bear,0.416,0,49,185,306,2025-03-16 09:11:48
person,0.428,0,52,185,304,2025-03-16 09:11:48
teddy bear,0.416,0,49,185,306,2025-03-16 09:11:48
teddy bear,0.685,0,66,181,289,2025-03-16 09:11:47
teddy bear,0.685,0,66,181,289,2025-03-16 09:11:47
teddy bear,0.435,0,56,184,299,2025-03-16 09:11:47
teddy bear,0.435,0,56,184,299,2025-03-16 09:11:47
teddy bear,0.845,0,48,192,307,2025-03-16 09:11:46
banana,0.267,559,118,80,71,2025-03-16 09:11:46
teddy bear,0.845,0,48,192,307,2025-03-16 09:11:46
banana,0.267,559,118,80,71,2025-03-16 09:11:46
teddy bear,0.861,0,46,188,309,2025-03-16 09:11:46
